iter	Passed	Remaining
0	1	120
1	2	132
2	4	134
3	5	131
4	7	135
5	8	140
6	10	140
7	12	138
8	13	136
9	15	136
10	16	134
11	18	133
12	19	130
13	20	128
14	22	127
15	23	125
16	24	121
17	26	119
18	27	116
19	28	113
20	29	110
21	30	108
22	31	105
23	32	103
24	33	100
25	34	98
26	35	96
27	36	94
28	37	91
29	38	89
30	39	87
31	40	85
32	40	83
33	41	81
34	42	79
35	43	77
36	44	74
37	44	73
38	45	71
39	46	69
40	47	68
41	47	66
42	48	64
43	49	62
44	50	61
45	50	59
46	51	58
47	52	56
48	53	55
49	53	53
50	54	52
51	55	51
52	56	49
53	56	48
54	57	46
55	57	45
56	58	44
57	59	42
58	60	41
59	61	40
60	61	39
61	62	38
62	63	37
63	64	36
64	65	35
65	65	33
66	66	32
67	67	31
68	67	30
69	68	29
70	69	28
71	70	27
72	71	26
73	71	25
74	72	24
75	73	23
76	73	22
77	74	21
78	75	20
79	76	19
80	76	18
81	77	17
82	78	16
83	79	15
84	79	14
85	80	13
86	81	12
87	82	11
88	83	10
89	83	9
90	84	8
91	85	7
92	85	6
93	86	5
94	87	4
95	88	3
96	89	2
97	90	1
98	90	0
99	91	0
